board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player
3,3,1.0,5,32,0,22,0,0
3,3,1.0,5,32,1,11,0,0
3,3,1.0,5,32,2,16,0,0
3,3,1.0,5,32,3,14,0,0
3,3,1.0,5,32,4,12,0,0
3,3,1.0,5,32,5,13,10,0
3,3,1.0,5,32,6,9,10,0
3,3,1.0,5,32,7,17,10,0
3,3,1.0,5,32,8,18,0,0
3,3,1.0,5,32,9,18,0,0
3,3,1.0,5,32,10,9,10,0
3,3,1.0,5,32,11,9,10,0
3,3,1.0,5,32,12,19,10,0
3,3,1.0,5,32,13,19,10,0
3,3,1.0,5,32,14,13,0,0
3,3,1.0,5,32,15,14,0,0
3,3,1.0,5,32,16,17,10,0
3,3,1.0,5,32,17,11,10,0
3,3,1.0,5,32,18,10,0,0
3,3,1.0,5,32,19,11,10,0
3,3,1.0,5,32,20,16,0,0
3,3,1.0,5,32,21,32,0,0
3,3,1.0,5,32,22,14,0,0
3,3,1.0,5,32,23,14,0,0
3,3,1.0,5,32,24,17,10,0
3,3,1.0,5,32,25,11,10,0
3,3,1.0,5,32,26,17,10,0
3,3,1.0,5,32,27,11,10,0
3,3,1.0,5,32,28,13,10,0
3,3,1.0,5,32,29,16,0,0
3,3,1.0,5,32,30,17,0,0
3,3,1.0,5,32,31,24,0,0
3,3,1.0,5,32,32,20,0,0
3,3,1.0,5,32,33,13,10,0
3,3,1.0,5,32,34,15,10,0
3,3,1.0,5,32,35,22,0,0
3,3,1.0,5,32,36,15,10,0
3,3,1.0,5,32,37,13,10,0
3,3,1.0,5,32,38,14,0,0
3,3,1.0,5,32,39,16,0,0
3,3,1.0,5,32,40,15,10,0
3,3,1.0,5,32,41,15,10,0
3,3,1.0,5,32,42,12,0,0
3,3,1.0,5,32,43,14,0,0
3,3,1.0,5,32,44,13,10,0
3,3,1.0,5,32,45,11,10,0
3,3,1.0,5,32,46,11,10,0
3,3,1.0,5,32,47,11,10,0
3,3,1.0,5,32,48,11,10,0
3,3,1.0,5,32,49,19,10,0
3,3,1.0,5,32,50,18,0,0
3,3,1.0,5,32,51,15,10,0
3,3,1.0,5,32,52,13,10,0
3,3,1.0,5,32,53,15,0,0
3,3,1.0,5,32,54,14,0,0
3,3,1.0,5,32,55,16,0,0
3,3,1.0,5,32,56,14,0,0
3,3,1.0,5,32,57,18,0,0
3,3,1.0,5,32,58,15,10,0
3,3,1.0,5,32,59,12,0,0
3,3,1.0,5,32,60,16,0,0
3,3,1.0,5,32,61,15,10,0
3,3,1.0,5,32,62,18,0,0
3,3,1.0,5,32,63,11,10,0
3,3,1.0,5,32,64,10,0,0
3,3,1.0,5,32,65,19,10,0
3,3,1.0,5,32,66,15,10,0
3,3,1.0,5,32,67,19,10,0
3,3,1.0,5,32,68,13,10,0
3,3,1.0,5,32,69,15,10,0
3,3,1.0,5,32,70,23,10,0
3,3,1.0,5,32,71,14,0,0
3,3,1.0,5,32,72,14,0,0
3,3,1.0,5,32,73,11,10,0
3,3,1.0,5,32,74,10,0,0
3,3,1.0,5,32,75,12,0,0
3,3,1.0,5,32,76,10,0,0
3,3,1.0,5,32,77,15,10,0
3,3,1.0,5,32,78,11,10,0
3,3,1.0,5,32,79,10,0,0
3,3,1.0,5,32,80,11,10,0
3,3,1.0,5,32,81,10,0,0
3,3,1.0,5,32,82,18,0,0
3,3,1.0,5,32,83,10,0,0
3,3,1.0,5,32,84,14,0,0
3,3,1.0,5,32,85,11,10,0
3,3,1.0,5,32,86,18,0,0
3,3,1.0,5,32,87,12,0,0
3,3,1.0,5,32,88,15,10,0
3,3,1.0,5,32,89,13,10,0
3,3,1.0,5,32,90,16,0,0
3,3,1.0,5,32,91,16,0,0
3,3,1.0,5,32,92,13,10,0
3,3,1.0,5,32,93,11,10,0
3,3,1.0,5,32,94,17,10,0
3,3,1.0,5,32,95,9,10,0
3,3,1.0,5,32,96,10,0,0
3,3,1.0,5,32,97,11,10,0
3,3,1.0,5,32,98,11,10,0
3,3,1.0,5,32,99,10,0,0
