board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,starting_player,trial_number,steps,reward_for_white_player,reward_for_black_player
4,3,1.0,5,16,white,0,19,17,0
4,3,1.0,5,16,white,1,20,0,0
4,3,1.0,5,16,white,2,48,0,0
4,3,1.0,5,16,white,3,25,17,0
4,3,1.0,5,16,white,4,39,17,0
4,3,1.0,5,16,white,5,18,0,0
4,3,1.0,5,16,white,6,35,17,0
4,3,1.0,5,16,white,7,20,0,0
4,3,1.0,5,16,white,8,27,17,0
4,3,1.0,5,16,white,9,31,17,0
4,3,1.0,5,16,white,10,35,17,0
4,3,1.0,5,16,white,11,29,17,0
4,3,1.0,5,16,white,12,29,17,0
4,3,1.0,5,16,white,13,29,17,0
4,3,1.0,5,16,white,14,31,17,0
4,3,1.0,5,16,white,15,32,0,0
4,3,1.0,5,16,white,16,33,17,0
4,3,1.0,5,16,white,17,29,17,0
4,3,1.0,5,16,white,18,21,17,0
4,3,1.0,5,16,white,19,28,0,0
4,3,1.0,5,16,white,20,29,17,0
4,3,1.0,5,16,white,21,27,17,0
4,3,1.0,5,16,white,22,29,17,0
4,3,1.0,5,16,white,23,39,17,0
4,3,1.0,5,16,white,24,33,17,0
4,3,1.0,5,16,white,25,19,17,0
4,3,1.0,5,16,white,26,39,17,0
4,3,1.0,5,16,white,27,24,0,0
4,3,1.0,5,16,white,28,53,17,0
4,3,1.0,5,16,white,29,31,17,0
4,3,1.0,5,16,white,30,21,17,0
4,3,1.0,5,16,white,31,26,0,0
4,3,1.0,5,16,white,32,32,0,0
4,3,1.0,5,16,white,33,39,17,0
4,3,1.0,5,16,white,34,33,17,0
4,3,1.0,5,16,white,35,23,17,0
4,3,1.0,5,16,white,36,30,0,0
4,3,1.0,5,16,white,37,26,0,0
4,3,1.0,5,16,white,38,25,17,0
4,3,1.0,5,16,white,39,34,0,0
4,3,1.0,5,16,white,40,25,17,0
4,3,1.0,5,16,white,41,22,0,0
4,3,1.0,5,16,white,42,32,0,0
4,3,1.0,5,16,white,43,27,17,0
4,3,1.0,5,16,white,44,35,17,0
4,3,1.0,5,16,white,45,31,17,0
4,3,1.0,5,16,white,46,25,17,0
4,3,1.0,5,16,white,47,36,0,0
4,3,1.0,5,16,white,48,46,0,0
4,3,1.0,5,16,white,49,33,17,0
4,3,1.0,5,16,white,50,44,0,0
4,3,1.0,5,16,white,51,36,0,0
4,3,1.0,5,16,white,52,31,17,0
4,3,1.0,5,16,white,53,40,0,0
4,3,1.0,5,16,white,54,28,0,0
4,3,1.0,5,16,white,55,38,0,0
4,3,1.0,5,16,white,56,29,17,0
4,3,1.0,5,16,white,57,32,0,0
4,3,1.0,5,16,white,58,33,17,0
4,3,1.0,5,16,white,59,42,0,0
4,3,1.0,5,16,white,60,29,17,0
4,3,1.0,5,16,white,61,32,0,0
4,3,1.0,5,16,white,62,23,17,0
4,3,1.0,5,16,white,63,17,17,0
