board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player
4,3,0.9,5,32,0,31,17,0
4,3,0.9,5,32,1,29,17,0
4,3,0.9,5,32,2,38,0,0
4,3,0.9,5,32,3,19,17,0
4,3,0.9,5,32,4,36,0,0
4,3,0.9,5,32,5,29,17,0
4,3,0.9,5,32,6,31,17,0
4,3,0.9,5,32,7,23,17,0
4,3,0.9,5,32,8,30,0,0
4,3,0.9,5,32,9,34,0,0
4,3,0.9,5,32,10,21,17,0
4,3,0.9,5,32,11,24,0,0
4,3,0.9,5,32,12,34,0,0
4,3,0.9,5,32,13,39,17,0
4,3,0.9,5,32,14,44,0,0
4,3,0.9,5,32,15,26,0,0
4,3,0.9,5,32,16,32,0,0
4,3,0.9,5,32,17,35,17,0
4,3,0.9,5,32,18,23,17,0
4,3,0.9,5,32,19,36,0,0
4,3,0.9,5,32,20,36,0,0
4,3,0.9,5,32,21,40,0,0
4,3,0.9,5,32,22,42,0,0
4,3,0.9,5,32,23,23,17,0
4,3,0.9,5,32,24,25,17,0
4,3,0.9,5,32,25,34,0,0
4,3,0.9,5,32,26,40,0,0
4,3,0.9,5,32,27,25,17,0
4,3,0.9,5,32,28,26,0,0
4,3,0.9,5,32,29,21,17,0
4,3,0.9,5,32,30,39,17,0
4,3,0.9,5,32,31,28,0,0
4,3,0.9,5,32,32,33,17,0
4,3,0.9,5,32,33,40,0,0
4,3,0.9,5,32,34,27,17,0
4,3,0.9,5,32,35,30,0,0
4,3,0.9,5,32,36,39,17,0
4,3,0.9,5,32,37,22,0,0
4,3,0.9,5,32,38,31,17,0
4,3,0.9,5,32,39,33,17,0
4,3,0.9,5,32,40,28,0,0
4,3,0.9,5,32,41,41,17,0
4,3,0.9,5,32,42,46,0,0
4,3,0.9,5,32,43,23,17,0
4,3,0.9,5,32,44,23,17,0
4,3,0.9,5,32,45,30,0,0
4,3,0.9,5,32,46,35,17,0
4,3,0.9,5,32,47,21,17,0
4,3,0.9,5,32,48,36,0,0
4,3,0.9,5,32,49,33,17,0
4,3,0.9,5,32,50,36,0,0
4,3,0.9,5,32,51,36,0,0
4,3,0.9,5,32,52,25,17,0
4,3,0.9,5,32,53,30,0,0
4,3,0.9,5,32,54,21,17,0
4,3,0.9,5,32,55,23,17,0
4,3,0.9,5,32,56,29,17,0
4,3,0.9,5,32,57,32,0,0
4,3,0.9,5,32,58,34,0,0
4,3,0.9,5,32,59,29,17,0
4,3,0.9,5,32,60,37,17,0
4,3,0.9,5,32,61,33,17,0
4,3,0.9,5,32,62,35,17,0
4,3,0.9,5,32,63,24,0,0
4,3,0.9,5,32,64,33,17,0
4,3,0.9,5,32,65,18,0,0
4,3,0.9,5,32,66,21,17,0
4,3,0.9,5,32,67,21,17,0
4,3,0.9,5,32,68,18,0,0
4,3,0.9,5,32,69,38,0,0
4,3,0.9,5,32,70,46,0,0
4,3,0.9,5,32,71,31,17,0
4,3,0.9,5,32,72,33,17,0
4,3,0.9,5,32,73,31,17,0
4,3,0.9,5,32,74,42,0,0
4,3,0.9,5,32,75,32,0,0
4,3,0.9,5,32,76,36,0,0
4,3,0.9,5,32,77,26,0,0
4,3,0.9,5,32,78,37,17,0
4,3,0.9,5,32,79,36,0,0
4,3,0.9,5,32,80,37,17,0
4,3,0.9,5,32,81,30,0,0
4,3,0.9,5,32,82,23,0,0
4,3,0.9,5,32,83,25,17,0
4,3,0.9,5,32,84,25,17,0
4,3,0.9,5,32,85,31,17,0
4,3,0.9,5,32,86,37,17,0
4,3,0.9,5,32,87,37,17,0
4,3,0.9,5,32,88,39,17,0
4,3,0.9,5,32,89,37,17,0
4,3,0.9,5,32,90,35,17,0
4,3,0.9,5,32,91,25,17,0
4,3,0.9,5,32,92,44,0,0
4,3,0.9,5,32,93,30,0,0
4,3,0.9,5,32,94,36,0,0
4,3,0.9,5,32,95,25,17,0
4,3,0.9,5,32,96,33,17,0
4,3,0.9,5,32,97,35,17,0
4,3,0.9,5,32,98,27,17,0
4,3,0.9,5,32,99,29,17,0
