board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,1,0,11,10,0,34,234
3,1,1.0,3,1,1,13,10,0,73,550
3,1,1.0,3,1,2,31,10,0,164,2149
3,1,1.0,3,1,3,15,10,0,209,2564
3,1,1.0,3,1,4,27,10,0,287,3786
3,1,1.0,3,1,5,29,10,0,373,5193
3,1,1.0,3,1,6,32,0,0,469,6895
3,1,1.0,3,1,7,17,10,0,519,7419
3,1,1.0,3,1,8,16,0,10,567,7891
3,1,1.0,3,1,9,25,10,0,642,8964
3,1,1.0,3,1,10,22,0,0,704,9810
3,1,1.0,3,1,11,15,10,0,749,10221
3,1,1.0,3,1,12,17,10,0,800,10748
3,1,1.0,3,1,13,12,0,10,836,11026
3,1,1.0,3,1,14,16,0,0,882,11492
3,1,1.0,3,1,15,21,10,0,945,12261
3,1,1.0,3,1,16,11,10,0,977,12504
3,1,1.0,3,1,17,21,10,0,1040,13273
3,1,1.0,3,1,18,19,10,0,1096,13913
3,1,1.0,3,1,19,18,0,0,1150,14504
3,1,1.0,3,1,20,12,0,0,1186,14790
3,1,1.0,3,1,21,11,10,0,1219,15039
3,1,1.0,3,1,22,31,10,0,1312,16641
3,1,1.0,3,1,23,12,0,10,1348,16931
3,1,1.0,3,1,24,24,0,0,1419,17921
3,1,1.0,3,1,25,20,0,0,1478,18633
3,1,1.0,3,1,26,19,10,0,1535,19287
3,1,1.0,3,1,27,20,0,0,1594,20003
3,1,1.0,3,1,28,19,10,0,1650,20659
3,1,1.0,3,1,29,16,0,10,1696,21140
3,1,1.0,3,1,30,18,0,10,1750,21720
3,1,1.0,3,1,31,17,10,0,1801,22253
3,1,1.0,3,1,32,28,0,0,1885,23584
3,1,1.0,3,1,33,30,0,0,1974,25090
3,1,1.0,3,1,34,17,0,0,2024,25627
3,1,1.0,3,1,35,29,10,0,2110,27041
3,1,1.0,3,1,36,29,10,0,2195,28454
3,1,1.0,3,1,37,17,10,0,2246,28976
3,1,1.0,3,1,38,17,10,0,2297,29505
3,1,1.0,3,1,39,11,10,0,2330,29749
3,1,1.0,3,1,40,28,0,0,2412,31082
3,1,1.0,3,1,41,22,0,0,2477,31924
3,1,1.0,3,1,42,27,10,0,2558,33156
3,1,1.0,3,1,43,13,10,0,2597,33480
3,1,1.0,3,1,44,12,0,0,2633,33765
3,1,1.0,3,1,45,17,10,0,2683,34295
3,1,1.0,3,1,46,15,0,0,2727,34717
3,1,1.0,3,1,47,14,0,0,2768,35093
3,1,1.0,3,1,48,14,0,0,2810,35465
3,1,1.0,3,1,49,32,0,10,2906,37170
3,1,1.0,3,1,50,27,0,0,2987,38412
3,1,1.0,3,1,51,18,0,0,3041,38997
3,1,1.0,3,1,52,16,0,0,3089,39481
3,1,1.0,3,1,53,12,0,0,3125,39775
3,1,1.0,3,1,54,17,10,0,3175,40312
3,1,1.0,3,1,55,24,0,10,3246,41304
3,1,1.0,3,1,56,32,0,10,3341,43012
3,1,1.0,3,1,57,19,10,0,3398,43662
3,1,1.0,3,1,58,16,0,0,3445,44142
3,1,1.0,3,1,59,9,10,0,3472,44323
3,1,1.0,3,1,60,27,0,0,3552,45560
3,1,1.0,3,1,61,24,0,0,3623,46556
3,1,1.0,3,1,62,14,0,0,3664,46932
3,1,1.0,3,1,63,26,0,0,3740,48089
3,1,1.0,3,1,64,25,10,0,3813,49166
3,1,1.0,3,1,65,17,10,0,3864,49699
3,1,1.0,3,1,66,15,10,0,3909,50125
3,1,1.0,3,1,67,12,0,0,3945,50416
3,1,1.0,3,1,68,9,10,0,3972,50595
3,1,1.0,3,1,69,21,10,0,4034,51372
3,1,1.0,3,1,70,11,10,0,4067,51622
3,1,1.0,3,1,71,13,10,0,4106,51955
3,1,1.0,3,1,72,9,0,0,4133,52131
3,1,1.0,3,1,73,13,10,0,4172,52464
3,1,1.0,3,1,74,20,0,10,4232,53180
3,1,1.0,3,1,75,20,0,0,4291,53901
3,1,1.0,3,1,76,14,0,0,4332,54289
3,1,1.0,3,1,77,27,0,0,4413,55527
3,1,1.0,3,1,78,18,0,0,4467,56121
3,1,1.0,3,1,79,17,10,0,4518,56662
3,1,1.0,3,1,80,19,10,0,4575,57321
3,1,1.0,3,1,81,15,10,0,4619,57745
3,1,1.0,3,1,82,21,10,0,4680,58528
3,1,1.0,3,1,83,19,10,0,4737,59184
3,1,1.0,3,1,84,18,0,0,4788,59777
3,1,1.0,3,1,85,15,10,0,4833,60210
3,1,1.0,3,1,86,20,0,0,4893,60932
3,1,1.0,3,1,87,23,10,0,4961,61859
3,1,1.0,3,1,88,15,10,0,5006,62292
3,1,1.0,3,1,89,21,10,0,5069,63076
3,1,1.0,3,1,90,17,0,0,5120,63616
3,1,1.0,3,1,91,13,10,0,5159,63957
3,1,1.0,3,1,92,17,10,0,5209,64494
3,1,1.0,3,1,93,17,10,0,5258,65025
3,1,1.0,3,1,94,15,10,0,5303,65461
3,1,1.0,3,1,95,10,0,0,5333,65678
3,1,1.0,3,1,96,19,0,0,5390,66332
3,1,1.0,3,1,97,19,0,0,5447,66992
3,1,1.0,3,1,98,23,10,0,5515,67919
3,1,1.0,3,1,99,21,10,0,5576,68705
3,1,1.0,3,16,0,13,10,0,40,5056
3,1,1.0,3,16,1,14,0,0,82,10848
3,1,1.0,3,16,2,17,10,0,132,19024
3,1,1.0,3,16,3,9,10,0,159,21680
3,1,1.0,3,16,4,13,10,0,198,26800
3,1,1.0,3,16,5,13,10,0,237,31872
3,1,1.0,3,16,6,27,10,0,316,51456
3,1,1.0,3,16,7,17,10,0,367,59920
3,1,1.0,3,16,8,12,0,0,403,64400
3,1,1.0,3,16,9,11,10,0,436,68256
3,1,1.0,3,16,10,12,0,0,472,72736
3,1,1.0,3,16,11,31,10,0,563,98352
3,1,1.0,3,16,12,17,10,0,614,106768
3,1,1.0,3,16,13,18,0,0,668,116016
3,1,1.0,3,16,14,14,0,0,710,121968
3,1,1.0,3,16,15,27,10,0,791,141696
3,1,1.0,3,16,16,21,10,0,854,153968
3,1,1.0,3,16,17,9,10,0,881,156672
3,1,1.0,3,16,18,15,10,0,924,163392
3,1,1.0,3,16,19,16,0,0,972,170832
3,1,1.0,3,16,20,15,10,0,1017,177536
3,1,1.0,3,16,21,23,10,0,1085,192224
3,1,1.0,3,16,22,13,10,0,1124,197408
3,1,1.0,3,16,23,27,10,0,1204,217232
3,1,1.0,3,16,24,13,10,0,1242,222432
3,1,1.0,3,16,25,11,10,0,1274,226272
3,1,1.0,3,16,26,18,0,0,1327,235584
3,1,1.0,3,16,27,14,0,0,1369,241616
3,1,1.0,3,16,28,18,0,0,1422,250976
3,1,1.0,3,16,29,9,10,0,1449,253792
3,1,1.0,3,16,30,9,10,0,1476,256608
3,1,1.0,3,16,31,15,10,0,1521,263296
3,1,1.0,3,16,32,23,10,0,1590,277984
3,1,1.0,3,16,33,26,0,0,1668,296288
3,1,1.0,3,16,34,25,10,0,1743,313440
3,1,1.0,3,16,35,15,10,0,1787,320240
3,1,1.0,3,16,36,19,10,0,1844,330576
3,1,1.0,3,16,37,25,10,0,1919,347776
3,1,1.0,3,16,38,15,10,0,1964,354400
3,1,1.0,3,16,39,31,0,0,2053,380192
3,1,1.0,3,16,40,11,10,0,2086,384192
3,1,1.0,3,16,41,13,10,0,2125,389568
3,1,1.0,3,16,42,9,10,0,2152,392384
3,1,1.0,3,16,43,13,10,0,2190,397648
3,1,1.0,3,16,44,20,0,0,2249,409088
3,1,1.0,3,16,45,9,10,0,2276,411856
3,1,1.0,3,16,46,19,10,0,2331,422192
3,1,1.0,3,16,47,27,10,0,2412,442080
3,1,1.0,3,16,48,23,10,0,2480,456720
3,1,1.0,3,16,49,13,10,0,2518,462032
3,1,1.0,3,16,50,21,10,0,2581,474512
3,1,1.0,3,16,51,11,10,0,2614,478432
3,1,1.0,3,16,52,14,0,0,2656,484400
3,1,1.0,3,16,53,17,10,0,2706,492944
3,1,1.0,3,16,54,20,0,0,2765,504336
3,1,1.0,3,16,55,15,10,0,2809,511200
3,1,1.0,3,16,56,19,10,0,2865,521680
3,1,1.0,3,16,57,25,10,0,2938,538928
3,1,1.0,3,16,58,23,10,0,3007,553696
3,1,1.0,3,16,59,11,10,0,3040,557744
3,1,1.0,3,16,60,18,0,0,3094,567184
3,1,1.0,3,16,61,11,10,0,3127,571248
3,1,1.0,3,16,62,13,10,0,3166,576592
3,1,1.0,3,16,63,19,10,0,3223,587040
3,1,1.0,3,16,64,13,10,0,3262,592336
3,1,1.0,3,16,65,25,10,0,3337,609504
3,1,1.0,3,16,66,10,0,0,3367,612928
3,1,1.0,3,16,67,11,10,0,3400,616864
3,1,1.0,3,16,68,25,10,0,3475,634144
3,1,1.0,3,16,69,17,0,0,3525,642720
3,1,1.0,3,16,70,13,10,0,3563,647920
3,1,1.0,3,16,71,11,10,0,3596,651856
3,1,1.0,3,16,72,19,10,0,3651,662112
3,1,1.0,3,16,73,13,10,0,3689,667344
3,1,1.0,3,16,74,23,10,0,3756,681952
3,1,1.0,3,16,75,16,0,0,3804,689504
3,1,1.0,3,16,76,13,10,0,3843,694960
3,1,1.0,3,16,77,15,10,0,3888,701840
3,1,1.0,3,16,78,19,0,0,3944,712336
3,1,1.0,3,16,79,15,10,0,3988,719136
3,1,1.0,3,16,80,19,10,0,4045,729520
3,1,1.0,3,16,81,13,10,0,4084,734800
3,1,1.0,3,16,82,11,10,0,4117,738864
3,1,1.0,3,16,83,13,10,0,4156,744160
3,1,1.0,3,16,84,20,0,0,4216,755664
3,1,1.0,3,16,85,29,10,0,4303,778416
3,1,1.0,3,16,86,20,0,0,4363,789968
3,1,1.0,3,16,87,35,0,0,4467,822416
3,1,1.0,3,16,88,23,10,0,4534,837200
3,1,1.0,3,16,89,13,10,0,4572,842400
3,1,1.0,3,16,90,19,10,0,4628,852720
3,1,1.0,3,16,91,10,0,0,4658,856064
3,1,1.0,3,16,92,15,10,0,4702,862832
3,1,1.0,3,16,93,27,10,0,4783,882688
3,1,1.0,3,16,94,10,0,0,4813,886112
3,1,1.0,3,16,95,10,0,0,4843,889552
3,1,1.0,3,16,96,13,10,0,4881,895040
3,1,1.0,3,16,97,23,10,0,4950,909856
3,1,1.0,3,16,98,15,10,0,4995,916816
3,1,1.0,3,16,99,13,10,0,5034,922256
3,1,1.0,3,64,0,12,0,0,37,17472
3,1,1.0,3,64,1,9,10,0,64,28224
3,1,1.0,3,64,2,13,10,0,103,48576
3,1,1.0,3,64,3,11,10,0,136,63744
3,1,1.0,3,64,4,11,10,0,169,78912
3,1,1.0,3,64,5,17,10,0,220,111808
3,1,1.0,3,64,6,13,10,0,259,131904
3,1,1.0,3,64,7,12,0,0,295,149504
3,1,1.0,3,64,8,17,10,0,346,182848
3,1,1.0,3,64,9,17,10,0,396,216128
3,1,1.0,3,64,10,9,10,0,423,226944
3,1,1.0,3,64,11,11,10,0,456,242560
3,1,1.0,3,64,12,9,10,0,483,253696
3,1,1.0,3,64,13,11,10,0,515,269312
3,1,1.0,3,64,14,23,10,0,584,327872
3,1,1.0,3,64,15,16,0,0,632,357952
3,1,1.0,3,64,16,11,10,0,665,373312
