board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,1,0,30,0,10,91,1498
3,1,1.0,3,1,1,23,10,0,160,2405
3,1,1.0,3,1,2,33,10,0,259,4198
3,1,1.0,3,1,3,34,0,0,359,6104
3,1,1.0,3,1,4,13,10,0,398,6424
3,1,1.0,3,1,5,26,0,10,475,7569
3,1,1.0,3,1,6,23,10,0,544,8480
3,1,1.0,3,1,7,15,0,0,589,8898
3,1,1.0,3,1,8,18,0,10,642,9483
3,1,1.0,3,1,9,10,0,10,672,9689
3,1,1.0,3,1,10,20,0,10,732,10398
3,1,1.0,3,1,11,17,0,0,782,10923
3,1,1.0,3,1,12,25,0,0,857,11986
3,1,1.0,3,1,13,23,0,0,925,12899
3,1,1.0,3,1,14,21,0,0,988,13666
3,1,1.0,3,1,15,15,0,0,1031,14086
3,1,1.0,3,1,16,18,0,10,1085,14665
3,1,1.0,3,1,17,17,10,0,1136,15188
3,1,1.0,3,1,18,15,10,0,1181,15607
3,1,1.0,3,1,19,14,0,10,1223,15978
3,1,1.0,3,1,20,15,10,0,1268,16404
3,1,1.0,3,1,21,21,10,0,1330,17182
3,1,1.0,3,1,22,21,0,0,1393,17955
3,1,1.0,3,1,23,18,0,10,1447,18538
3,1,1.0,3,1,24,29,0,0,1534,19958
3,1,1.0,3,1,25,19,0,0,1590,20611
3,1,1.0,3,1,26,23,0,0,1656,21531
3,1,1.0,3,1,27,26,0,10,1734,22677
3,1,1.0,3,1,28,12,0,0,1770,22963
3,1,1.0,3,1,29,27,10,0,1851,24208
3,1,1.0,3,1,30,15,10,0,1896,24628
3,1,1.0,3,1,31,10,0,0,1926,24846
3,1,1.0,3,1,32,23,10,0,1995,25770
3,1,1.0,3,1,33,14,0,0,2036,26149
3,1,1.0,3,1,34,10,0,10,2066,26364
3,1,1.0,3,1,35,19,10,0,2123,27016
3,1,1.0,3,1,36,16,0,10,2170,27492
3,1,1.0,3,1,37,19,10,0,2225,28138
3,1,1.0,3,1,38,12,0,0,2261,28425
3,1,1.0,3,1,39,11,0,0,2294,28674
3,1,1.0,3,1,40,22,0,0,2360,29522
3,1,1.0,3,1,41,14,0,10,2401,29904
3,1,1.0,3,1,42,23,10,0,2468,30820
3,1,1.0,3,1,43,19,10,0,2524,31465
3,1,1.0,3,1,44,19,0,0,2580,32124
3,1,1.0,3,1,45,21,10,0,2642,32904
3,1,1.0,3,1,46,22,0,10,2708,33758
3,1,1.0,3,1,47,18,0,10,2762,34337
3,1,1.0,3,1,48,17,0,0,2813,34866
3,1,1.0,3,1,49,33,10,0,2912,36681
3,1,1.0,3,1,50,30,0,10,3002,38198
3,1,1.0,3,1,51,34,0,10,3104,40110
3,1,1.0,3,1,52,12,0,0,3137,40399
3,1,1.0,3,1,53,16,0,0,3184,40876
3,1,1.0,3,1,54,17,0,0,3235,41402
3,1,1.0,3,1,55,16,0,10,3283,41881
3,1,1.0,3,1,56,12,0,0,3319,42166
3,1,1.0,3,1,57,14,0,10,3361,42546
3,1,1.0,3,1,58,19,10,0,3418,43197
3,1,1.0,3,1,59,24,0,0,3490,44191
3,1,1.0,3,1,60,29,10,0,3576,45607
3,1,1.0,3,1,61,15,0,0,3620,46035
3,1,1.0,3,1,62,34,0,0,3722,47956
3,1,1.0,3,1,63,11,10,0,3755,48209
3,1,1.0,3,1,64,11,10,0,3788,48456
3,1,1.0,3,1,65,16,0,10,3836,48938
3,1,1.0,3,1,66,16,0,0,3884,49421
3,1,1.0,3,1,67,23,10,0,3953,50347
3,1,1.0,3,1,68,21,10,0,4016,51127
3,1,1.0,3,1,69,25,0,0,4087,52208
3,1,1.0,3,1,70,25,0,0,4162,53288
3,1,1.0,3,1,71,19,10,0,4218,53940
3,1,1.0,3,1,72,31,0,0,4309,55547
3,1,1.0,3,1,73,22,0,10,4375,56395
3,1,1.0,3,1,74,35,10,0,4476,58414
3,1,1.0,3,1,75,18,0,10,4530,58996
3,1,1.0,3,1,76,12,0,0,4566,59277
3,1,1.0,3,1,77,10,0,10,4595,59494
3,1,1.0,3,1,78,13,10,0,4634,59825
3,1,1.0,3,1,79,17,10,0,4685,60356
3,1,1.0,3,1,80,30,0,10,4774,61872
3,1,1.0,3,1,81,18,0,0,4827,62466
3,1,1.0,3,1,82,11,0,0,4859,62721
3,1,1.0,3,1,83,18,0,0,4911,63317
3,1,1.0,3,1,84,19,0,0,4968,63971
3,1,1.0,3,1,85,14,0,10,5010,64349
3,1,1.0,3,1,86,27,10,0,5091,65595
3,1,1.0,3,1,87,28,0,0,5174,66931
3,1,1.0,3,1,88,18,0,0,5228,67533
3,1,1.0,3,1,89,9,10,0,5255,67722
3,1,1.0,3,1,90,18,0,0,5307,68315
3,1,1.0,3,1,91,21,10,0,5369,69096
3,1,1.0,3,1,92,9,0,0,5395,69283
3,1,1.0,3,1,93,29,10,0,5482,70715
3,1,1.0,3,1,94,33,0,0,5579,72523
3,1,1.0,3,1,95,19,0,0,5634,73175
3,1,1.0,3,1,96,37,0,0,5745,75433
3,1,1.0,3,1,97,24,0,0,5817,76439
3,1,1.0,3,1,98,14,0,0,5859,76822
3,1,1.0,3,1,99,11,10,0,5892,77074
3,1,1.0,3,10,0,14,0,10,43,3640
3,1,1.0,3,10,1,12,0,0,79,6390
3,1,1.0,3,10,2,16,0,10,127,10980
3,1,1.0,3,10,3,22,0,0,193,19390
3,1,1.0,3,10,4,25,0,0,268,29980
3,1,1.0,3,10,5,12,0,10,304,32790
3,1,1.0,3,10,6,24,0,0,374,42670
3,1,1.0,3,10,7,20,0,10,434,49640
3,1,1.0,3,10,8,17,10,0,485,54820
3,1,1.0,3,10,9,12,0,10,521,57610
3,1,1.0,3,10,10,24,0,0,593,67430
3,1,1.0,3,10,11,19,10,0,650,73790
3,1,1.0,3,10,12,12,0,0,685,76600
3,1,1.0,3,10,13,34,0,10,787,95640
3,1,1.0,3,10,14,18,0,0,841,101410
3,1,1.0,3,10,15,20,0,10,901,108470
3,1,1.0,3,10,16,21,0,0,963,116170
3,1,1.0,3,10,17,19,0,0,1019,122540
3,1,1.0,3,10,18,18,0,10,1073,128390
3,1,1.0,3,10,19,24,0,0,1143,138290
3,1,1.0,3,10,20,19,10,0,1199,144730
3,1,1.0,3,10,21,33,10,0,1297,162680
3,1,1.0,3,10,22,18,0,10,1350,168510
3,1,1.0,3,10,23,17,0,0,1400,173780
3,1,1.0,3,10,24,20,0,10,1460,180800
3,1,1.0,3,10,25,23,10,0,1524,190010
3,1,1.0,3,10,26,18,0,0,1577,195830
3,1,1.0,3,10,27,24,0,10,1648,205830
3,1,1.0,3,10,28,15,10,0,1692,210080
3,1,1.0,3,10,29,21,10,0,1754,217850
