board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player
3,3,0.9,5,1,0,16,0,0
3,3,0.9,5,1,1,10,0,0
3,3,0.9,5,1,2,14,0,10
3,3,0.9,5,1,3,13,10,0
3,3,0.9,5,1,4,17,10,0
3,3,0.9,5,1,5,22,0,0
3,3,0.9,5,1,6,16,0,10
3,3,0.9,5,1,7,13,0,0
3,3,0.9,5,1,8,19,10,0
3,3,0.9,5,1,9,10,0,10
3,3,0.9,5,1,10,24,0,0
3,3,0.9,5,1,11,18,0,0
3,3,0.9,5,1,12,25,10,0
3,3,0.9,5,1,13,12,0,0
3,3,0.9,5,1,14,17,10,0
3,3,0.9,5,1,15,16,0,0
3,3,0.9,5,1,16,19,10,0
3,3,0.9,5,1,17,18,0,0
3,3,0.9,5,1,18,16,0,0
3,3,0.9,5,1,19,21,10,0
3,3,0.9,5,1,20,20,0,0
3,3,0.9,5,1,21,19,10,0
3,3,0.9,5,1,22,17,10,0
3,3,0.9,5,1,23,14,0,10
3,3,0.9,5,1,24,27,10,0
3,3,0.9,5,1,25,17,10,0
3,3,0.9,5,1,26,25,0,0
3,3,0.9,5,1,27,19,10,0
3,3,0.9,5,1,28,19,10,0
3,3,0.9,5,1,29,11,0,0
3,3,0.9,5,1,30,22,0,0
3,3,0.9,5,1,31,13,10,0
3,3,0.9,5,1,32,19,0,0
3,3,0.9,5,1,33,25,10,0
3,3,0.9,5,1,34,16,0,0
3,3,0.9,5,1,35,19,10,0
3,3,0.9,5,1,36,13,0,0
3,3,0.9,5,1,37,10,0,0
3,3,0.9,5,1,38,17,10,0
3,3,0.9,5,1,39,17,10,0
3,3,0.9,5,1,40,9,10,0
3,3,0.9,5,1,41,12,0,10
3,3,0.9,5,1,42,11,0,0
3,3,0.9,5,1,43,13,10,0
3,3,0.9,5,1,44,20,0,0
3,3,0.9,5,1,45,18,0,0
3,3,0.9,5,1,46,12,0,0
3,3,0.9,5,1,47,15,10,0
3,3,0.9,5,1,48,15,10,0
3,3,0.9,5,1,49,27,10,0
3,3,0.9,5,1,50,13,10,0
3,3,0.9,5,1,51,23,0,0
3,3,0.9,5,1,52,21,10,0
3,3,0.9,5,1,53,21,0,0
3,3,0.9,5,1,54,15,10,0
3,3,0.9,5,1,55,13,10,0
3,3,0.9,5,1,56,30,0,0
3,3,0.9,5,1,57,17,10,0
3,3,0.9,5,1,58,9,10,0
3,3,0.9,5,1,59,20,0,0
3,3,0.9,5,1,60,26,0,0
3,3,0.9,5,1,61,9,10,0
3,3,0.9,5,1,62,16,0,0
3,3,0.9,5,1,63,19,10,0
3,3,0.9,5,1,64,13,10,0
3,3,0.9,5,1,65,11,10,0
3,3,0.9,5,1,66,9,10,0
3,3,0.9,5,1,67,15,10,0
3,3,0.9,5,1,68,36,0,10
3,3,0.9,5,1,69,16,0,0
3,3,0.9,5,1,70,18,0,0
3,3,0.9,5,1,71,12,0,0
3,3,0.9,5,1,72,12,0,0
3,3,0.9,5,1,73,12,0,10
3,3,0.9,5,1,74,24,0,0
3,3,0.9,5,1,75,15,10,0
3,3,0.9,5,1,76,13,10,0
3,3,0.9,5,1,77,30,0,0
3,3,0.9,5,1,78,16,0,0
3,3,0.9,5,1,79,16,0,0
3,3,0.9,5,1,80,19,10,0
3,3,0.9,5,1,81,17,0,0
3,3,0.9,5,1,82,13,10,0
3,3,0.9,5,1,83,21,10,0
3,3,0.9,5,1,84,17,10,0
3,3,0.9,5,1,85,18,0,0
3,3,0.9,5,1,86,13,10,0
3,3,0.9,5,1,87,16,0,10
3,3,0.9,5,1,88,14,0,10
3,3,0.9,5,1,89,9,10,0
3,3,0.9,5,1,90,12,0,0
3,3,0.9,5,1,91,10,0,0
3,3,0.9,5,1,92,14,0,0
3,3,0.9,5,1,93,11,10,0
3,3,0.9,5,1,94,13,0,0
3,3,0.9,5,1,95,17,10,0
3,3,0.9,5,1,96,16,0,10
3,3,0.9,5,1,97,18,0,0
3,3,0.9,5,1,98,12,0,0
3,3,0.9,5,1,99,21,10,0
3,3,0.9,5,8,0,21,10,0
3,3,0.9,5,8,1,20,0,0
3,3,0.9,5,8,2,28,0,10
3,3,0.9,5,8,3,19,10,0
3,3,0.9,5,8,4,21,10,0
3,3,0.9,5,8,5,12,0,0
3,3,0.9,5,8,6,19,10,0
3,3,0.9,5,8,7,21,10,0
3,3,0.9,5,8,8,20,0,0
3,3,0.9,5,8,9,19,10,0
3,3,0.9,5,8,10,24,0,10
3,3,0.9,5,8,11,19,10,0
3,3,0.9,5,8,12,9,10,0
3,3,0.9,5,8,13,12,0,0
3,3,0.9,5,8,14,13,10,0
3,3,0.9,5,8,15,23,10,0
3,3,0.9,5,8,16,11,10,0
3,3,0.9,5,8,17,25,10,0
3,3,0.9,5,8,18,9,10,0
3,3,0.9,5,8,19,24,0,0
3,3,0.9,5,8,20,21,10,0
3,3,0.9,5,8,21,9,10,0
3,3,0.9,5,8,22,12,0,0
