board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,starting_player,rollout_policy,sarsa_epsilon,sarsa_alpha,sarsa_gamma,trial_number,steps,game_time,reward_for_white_player,reward_for_black_player
3,3,0.9,5,16,white,random,0.1,0.99,0.99,0,13,12583289000,10,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,1,14,11139635000,0,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,2,21,23072832000,10,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,3,17,20134742000,10,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,4,9,11216589000,10,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,5,18,14150515000,0,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,6,17,18254229000,10,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,7,9,10825787000,10,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,8,16,16846315000,0,0
3,3,0.9,5,16,white,random,0.1,0.99,0.99,9,19,23486675000,0,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,0,17,41177882000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,1,19,46849572000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,2,17,42901182000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,3,21,39164173000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,4,16,47357755000,0,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,5,25,71742577000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,6,12,37225322000,0,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,7,11,35292678000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,8,21,56895929000,10,0
3,3,0.9,5,16,white,random_take_win,0.1,0.99,0.99,9,16,39718096000,0,0
3,3,0.9,5,16,white,egreedy-sarsa,0.1,0.99,0.99,0,18,73179495000,0,0
3,3,0.9,5,16,white,egreedy-sarsa,0.1,0.99,0.99,1,9,51067091000,10,0
3,3,0.9,5,16,white,egreedy-sarsa,0.1,0.99,0.99,2,11,48067066000,10,0
3,3,0.9,5,16,white,egreedy-sarsa,0.1,0.99,0.99,3,10,45279255000,0,0
3,3,0.9,5,16,white,egreedy-sarsa,0.1,0.99,0.99,4,15,69879619000,10,0
