board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,starting_player,sarsa_epsilon,sarsa_alpha,sarsa_gamma,trial_number,steps,reward_for_white_player,reward_for_black_player
3,3,0.9,3,16,white,0.1,0.99,0.99,0,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,1,17,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,2,15,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,3,15,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,4,20,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,5,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,6,14,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,7,18,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,8,39,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,9,13,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,10,24,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,11,12,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,12,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,13,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,14,21,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,15,21,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,16,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,17,23,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,18,19,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,19,19,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,20,21,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,21,35,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,22,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,23,19,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,24,18,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,25,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,26,25,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,27,13,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,28,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,29,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,30,12,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,31,13,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,32,18,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,33,11,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,34,13,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,35,20,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,36,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,37,30,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,38,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,39,19,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,40,18,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,41,25,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,42,18,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,43,23,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,44,15,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,45,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,46,21,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,47,29,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,48,12,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,49,18,0,0
