board_size,min_max_depth,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1,0,18,0,0
3,1,1,17,10,0
3,1,2,23,10,0
3,1,3,25,0,0
3,1,4,26,0,0
3,1,5,12,0,0
3,1,6,16,0,0
3,1,7,13,0,0
3,1,8,15,10,0
3,1,9,13,10,0
3,2,0,15,0,0
3,2,1,18,0,10
3,2,2,18,0,10
3,2,3,30,0,0
3,2,4,24,0,10
3,2,5,17,0,0
3,2,6,19,0,0
3,2,7,17,0,0
3,2,8,20,0,10
3,2,9,22,0,0
3,3,0,24,0,0
3,3,1,21,10,0
3,3,2,29,10,0
3,3,3,18,0,0
3,3,4,15,0,0
3,3,5,14,0,10
3,3,6,17,10,0
3,3,7,9,0,0
3,3,8,15,10,0
3,3,9,36,0,10
3,4,0,16,0,10
3,4,1,14,0,0
3,4,2,15,10,0
3,4,3,33,0,0
3,4,4,14,0,10
3,4,5,18,0,10
3,4,6,15,10,0
3,4,7,19,0,0
3,4,8,20,0,0
3,4,9,13,0,0
3,5,0,20,0,0
3,5,1,16,0,0
3,5,2,17,10,0
3,5,3,24,0,10
3,5,4,16,0,0
3,5,5,12,0,0
3,5,6,22,0,0
3,5,7,34,0,10
3,5,8,9,10,0
3,5,9,24,0,10
3,6,0,16,0,0
3,6,1,20,0,10
3,6,2,17,0,0
3,6,3,15,0,0
3,6,4,18,0,10
3,6,5,17,10,0
3,6,6,14,0,10
3,6,7,16,0,10
3,6,8,26,0,10
3,6,9,29,10,0
3,7,0,21,0,0
3,7,1,20,0,10
3,7,2,17,0,0
3,7,3,12,0,0
3,7,4,16,0,0
3,7,5,21,0,0
3,7,6,26,0,0
3,7,7,23,10,0
3,7,8,27,10,0
3,7,9,32,0,0
3,8,0,13,0,0
3,8,1,17,0,0
3,8,2,20,0,0
3,8,3,35,10,0
3,8,4,21,10,0
3,8,5,16,0,10
3,8,6,23,10,0
3,8,7,29,0,0
3,8,8,20,0,10
3,8,9,12,0,0
3,9,0,20,0,10
3,9,1,17,0,0
3,9,2,16,0,10
3,9,3,26,0,0
3,9,4,24,0,10
3,9,5,16,0,10
3,9,6,20,0,10
3,9,7,16,0,10
3,9,8,23,10,0
3,9,9,23,10,0
3,10,0,18,0,10
3,10,1,11,0,0
3,10,2,22,0,10
3,10,3,11,0,0
3,10,4,20,0,10
3,10,5,9,10,0
3,10,6,21,10,0
3,10,7,21,0,0
3,10,8,21,0,0
3,10,9,26,0,10
4,1,0,55,0,0
