board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,22,0,0
3,white,1,16,0,0
3,white,2,14,0,0
3,white,3,23,0,0
3,white,4,18,0,0
3,white,5,10,0,0
3,white,6,15,0,0
3,white,7,28,0,0
3,white,8,18,0,0
3,white,9,16,0,0
3,white,10,10,0,0
3,white,11,20,0,0
3,white,12,16,0,0
3,white,13,18,0,0
3,white,14,14,0,0
3,white,15,20,0,0
3,white,16,14,0,0
3,white,17,17,0,0
3,white,18,7,0,0
3,white,19,21,0,0
3,white,20,9,0,0
3,white,21,16,0,0
3,white,22,14,0,0
3,white,23,19,0,0
3,white,24,18,0,0
3,white,25,24,0,0
3,white,26,19,0,0
3,white,27,14,0,0
3,white,28,17,0,0
3,white,29,41,0,0
3,white,30,28,0,0
3,white,31,22,0,0
3,white,32,13,0,0
3,white,33,12,0,0
3,white,34,24,0,0
3,white,35,29,0,0
3,white,36,20,0,0
3,white,37,15,0,0
3,white,38,33,0,0
3,white,39,14,0,0
3,white,40,19,0,0
3,white,41,20,0,0
3,white,42,18,0,0
3,white,43,29,0,0
3,white,44,11,0,0
3,white,45,17,0,0
3,white,46,28,0,0
3,white,47,30,0,0
3,white,48,20,0,0
3,white,49,13,0,0
3,white,50,26,0,0
3,white,51,19,0,0
3,white,52,33,0,0
3,white,53,20,0,0
3,white,54,34,0,0
3,white,55,16,0,0
3,white,56,21,0,0
3,white,57,11,0,0
3,white,58,21,0,0
3,white,59,19,0,0
3,white,60,13,0,0
3,white,61,20,0,0
3,white,62,11,0,0
3,white,63,6,0,0
3,white,64,11,0,0
3,white,65,13,0,0
3,white,66,10,0,0
3,white,67,19,0,0
3,white,68,10,0,0
3,white,69,10,0,0
3,white,70,25,0,0
3,white,71,17,0,0
3,white,72,23,0,0
3,white,73,26,0,0
3,white,74,13,0,0
3,white,75,13,0,0
3,white,76,26,0,0
3,white,77,14,0,0
3,white,78,21,0,0
3,white,79,30,0,0
3,white,80,11,0,0
3,white,81,14,0,0
3,white,82,10,0,0
3,white,83,11,0,0
3,white,84,34,0,0
3,white,85,37,0,0
3,white,86,26,0,0
3,white,87,32,0,0
3,white,88,23,0,0
3,white,89,12,0,0
3,white,90,21,0,0
3,white,91,17,0,0
3,white,92,13,0,0
3,white,93,22,0,0
3,white,94,7,0,0
3,white,95,37,0,0
3,white,96,9,0,0
3,white,97,26,0,0
3,white,98,8,0,0
3,white,99,15,0,0
3,black,0,22,0,0
3,black,1,22,0,0
3,black,2,24,0,0
3,black,3,16,0,0
3,black,4,18,0,0
3,black,5,30,0,0
3,black,6,7,0,0
3,black,7,6,0,0
3,black,8,19,0,0
3,black,9,22,0,0
3,black,10,10,0,0
3,black,11,17,0,0
3,black,12,10,0,0
3,black,13,16,0,0
3,black,14,24,0,0
3,black,15,13,0,0
3,black,16,12,0,0
3,black,17,17,0,0
3,black,18,16,0,0
3,black,19,8,0,0
3,black,20,12,0,0
3,black,21,18,0,0
3,black,22,26,0,0
3,black,23,15,0,0
3,black,24,21,0,0
3,black,25,12,0,0
3,black,26,27,0,0
3,black,27,18,0,0
3,black,28,28,0,0
3,black,29,11,0,0
3,black,30,25,0,0
3,black,31,11,0,0
3,black,32,19,0,0
3,black,33,20,0,0
3,black,34,14,0,0
3,black,35,28,0,0
3,black,36,26,0,0
3,black,37,15,0,0
3,black,38,14,0,0
3,black,39,16,0,0
3,black,40,10,0,0
3,black,41,46,0,0
3,black,42,16,0,0
3,black,43,34,0,0
3,black,44,20,0,0
3,black,45,23,0,0
3,black,46,11,0,0
3,black,47,21,0,0
3,black,48,11,0,0
3,black,49,20,0,0
3,black,50,19,0,0
3,black,51,14,0,0
3,black,52,16,0,0
3,black,53,14,0,0
3,black,54,18,0,0
3,black,55,18,0,0
3,black,56,11,0,0
3,black,57,13,0,0
3,black,58,16,0,0
3,black,59,12,0,0
3,black,60,20,0,0
3,black,61,7,0,0
3,black,62,9,0,0
3,black,63,23,0,0
3,black,64,14,0,0
3,black,65,28,0,0
3,black,66,20,0,0
3,black,67,30,0,0
3,black,68,21,0,0
3,black,69,19,0,0
3,black,70,32,0,0
3,black,71,23,0,0
3,black,72,14,0,0
3,black,73,37,0,0
3,black,74,24,0,0
3,black,75,10,0,0
3,black,76,22,0,0
3,black,77,16,0,0
3,black,78,20,0,0
3,black,79,17,0,0
3,black,80,16,0,0
3,black,81,13,0,0
3,black,82,17,0,0
3,black,83,14,0,0
3,black,84,28,0,0
3,black,85,24,0,0
3,black,86,28,0,0
