board_size,starting_player,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,11,10,0
3,white,1,20,0,0
3,white,2,12,0,10
3,white,3,15,0,0
3,white,4,22,0,10
3,white,5,26,0,10
3,white,6,24,0,10
3,white,7,21,0,0
3,white,8,26,0,0
3,white,9,16,0,0
3,white,10,13,0,0
3,white,11,19,0,0
3,white,12,33,10,0
3,white,13,24,0,10
3,white,14,12,0,0
3,white,15,24,0,0
3,white,16,28,0,0
3,white,17,29,0,0
3,white,18,9,10,0
3,white,19,28,0,0
3,white,20,23,10,0
3,white,21,16,0,0
3,white,22,20,0,10
3,white,23,19,10,0
3,white,24,29,0,0
3,white,25,10,0,0
3,white,26,14,0,0
3,white,27,20,0,10
3,white,28,33,10,0
3,white,29,16,0,0
3,black,0,13,0,10
3,black,1,32,10,0
3,black,2,26,10,0
3,black,3,27,0,0
3,black,4,21,0,10
3,black,5,12,10,0
3,black,6,20,10,0
3,black,7,14,10,0
3,black,8,25,0,10
3,black,9,13,0,0
3,black,10,14,0,0
3,black,11,12,0,0
3,black,12,26,0,0
3,black,13,15,0,0
3,black,14,12,10,0
3,black,15,26,0,0
3,black,16,14,0,0
3,black,17,11,0,10
3,black,18,16,0,0
3,black,19,14,10,0
3,black,20,17,0,0
3,black,21,18,0,0
3,black,22,17,0,0
3,black,23,16,0,0
3,black,24,17,0,10
3,black,25,17,0,0
3,black,26,28,10,0
3,black,27,21,0,10
3,black,28,26,0,0
3,black,29,15,0,0
